id;firstname;lastname;football_name
11935;Ricardo Ferreira;Ferreira da Silva Kubitski;Ricardinho
12114;Marko;Meerits;Marko Meerits
12118;Karol;Mets;Karol Mets
12187;Danny;Hoesen;Danny Hoesen
12192;Adnane;Tighadouini;Adnane Tighadouini
12287;Lukas;Zima;Lukas Zima
12302;Dominik;Masek;Dominik Masek
12307;Frederik Lucas;Holst;Frederik Holst
12309;Riza;Durmisi;Riza Durmisi
12310;Patrick;Banggaard Jensen;Patrick Banggaard
12316;Viktor;Gorridsen Fischer;Viktor Fischer
12491;Karl-Johan Anton;Johnsson;Karl-Johan Johnsson
