id;match_name;match_date;team1_id;team1_score;team2_id;team2_score
5415;Vitesse - Heracles;2012-03-16 19:00;171;2;165;\N
5416;AZ - NAC Breda;2012-03-18 15:30;156;\N;166;\N
5417;PSV - Heerenveen;2012-03-18 14:30;168;5;164;\N
5418;RKC Waalwijk - De Graafschap;2012-03-17 17:45;650;1;158;\N
5419;Excelsior Rotterdam - Roda JC Kerkrade;2012-03-17 18:45;159;2;169;\N
5420;ADO Den Haag - Ajax;2012-03-18 11:30;155;\N;157;\N
5421;VVV - NEC;2012-03-17 19:45;170;\N;69;\N
5422;Twente Enschede FC - Feyenoord;2012-03-18 13:30;161;\N;64;\N
5423;Utrecht - Groningen;2012-03-18 13:30;162;3;160;\N
5424;AZ - RKC Waalwijk;2012-03-25 10:30;156;1;650;\N
5425;ADO Den Haag - Twente Enschede FC;2012-03-24 19:45;155;1;161;\N
5426;Heracles - Utrecht;2012-03-25 12:30;165;3;162;\N
5427;NAC Breda - NEC;2012-03-24 18:45;166;1;69;\N
5428;Heerenveen - VVV;2012-03-24 18:45;164;4;170;\N
5429;Ajax - PSV;2012-03-25 15:30;157;2;168;\N
5430;De Graafschap - Feyenoord;2012-03-25 12:30;158;\N;64;\N
5431;Roda JC Kerkrade - Vitesse;2012-03-24 17:45;169;3;171;\N
5432;Excelsior Rotterdam - Groningen;2012-03-23 22:00;159;\N;160;\N
5433;Utrecht - Excelsior Rotterdam;2012-03-30 18:00;162;3;159;\N
5434;Groningen - Heerenveen;2012-03-31 16:45;160;1;164;\N
5435;PSV - VVV;2012-03-31 18:45;168;2;170;\N
5436;Twente Enschede FC - Roda JC Kerkrade;2012-03-31 17:45;161;2;169;\N
5437;Feyenoord - NAC Breda;2012-03-31 18:45;64;3;166;\N
5438;Ajax - Heracles;2012-04-01 12:30;157;6;165;\N
5439;Vitesse - AZ;2012-04-01 14:30;171;2;156;\N
5440;NEC - De Graafschap;2012-04-01 10:30;69;2;158;\N
5441;RKC Waalwijk - ADO Den Haag;2012-04-01 12:30;650;1;155;\N
5442;NAC Breda - Heracles;2012-04-11 18:00;166;1;165;\N
5443;Heerenveen - Ajax;2012-04-11 19:00;164;\N;157;\N
5444;Excelsior Rotterdam - NEC;2012-04-10 18:00;159;\N;69;\N
5445;AZ - Twente Enschede FC;2012-04-11 20:00;156;2;161;\N
5446;RKC Waalwijk - PSV;2012-04-11 19:00;650;2;168;\N
5447;Roda JC Kerkrade - Feyenoord;2012-04-11 18:00;169;\N;64;\N
5448;ADO Den Haag - Groningen;2012-04-12 19:00;155;3;160;\N
5449;VVV - Vitesse;2012-04-12 18:00;170;1;171;\N
5450;De Graafschap - Utrecht;2012-04-12 17:00;158;3;162;\N
5451;NEC - Heerenveen;2012-04-14 17:45;69;2;164;\N
